Strain,Nuclear,Mito,Petite,Grande,Petitefrequency,SD_Pheno_30,SD_Pheno_37
RC001,1,X273614N,11,1128,0.965759438,2.998756167,3.410264469
RC002,2,X273614N,65,1895,3.316326531,3.318654246,3.889679012
RC003,3,X273614N,63,1473,4.1015625,4.176040168,4.365219254
RC004,4,X273614N,271,1873,12.63992537,4.053438963,4.323378504
RC005,5,X273614N,100,587,14.55604076,3.432145778,3.99326587
RC006,6,X273614N,NA,NA,NA,4.197064731,4.091155317
RC007,7,X273614N,109,1127,8.818770227,4.920966558,4.234582339
RC008,8,X273614N,11,1448,0.753941056,5.022508435,4.456581596
RC009,9,X273614N,126,1619,7.220630372,2.505965492,2.560864413
RC010,10,X273614N,33,731,4.319371728,2.04151733,2.379840037
RC011,11,X273614N,92,2020,4.356060606,5.496160747,5.442920219
RC012,12,X273614N,62,774,7.416267943,4.055070216,4.552259285
RC013,13,X273614N,49,650,7.010014306,3.567529622,3.245572939
RC014,14,X273614N,25,2459,1.006441224,4.374899287,3.921960909
RC015,15,X273614N,273,2340,10.44776119,3.632802572,3.493327496
RC016,16,X273614N,86,2863,2.916242794,4.371903564,4.328843088
RC017,17,X273614N,6,1551,0.385356455,3.788841272,3.739889436
RC018,18,X273614N,41,3285,1.232711966,2.776432893,2.650723415
RC019,19,X273614N,43,491,8.052434457,4.907087044,4.516940735
RC020,20,X273614N,17,1599,1.051980198,5.293864793,4.585790626
RC021,21,X273614N,46,1970,2.281746032,4.223686027,4.32805154
RC022,22,X273614N,16,1594,0.99378882,4.308102899,4.308821541
RC023,23,X273614N,25,682,3.536067893,3.514541702,4.069811751
RC024,24,X273614N,35,1346,2.534395366,4.664950901,4.469037192
RC025,25,X273614N,255,1578,13.91162029,4.07445411,3.243428782
RC026,26,X273614N,69,1903,3.498985801,5.341412171,4.053255604
RC027,27,X273614N,32,1631,1.924233313,4.68983184,4.403533742
RC028,28,X273614N,53,2019,2.557915058,2.826427561,2.961895016
RC029,29,X273614N,21,1231,1.677316294,4.543254521,5.005050702
RC030,30,X273614N,39,1732,2.20214568,4.631729751,4.527549598
RC031,31,X273614N,9,1213,0.736497545,4.002215358,3.297531145
RC032,32,X273614N,60,437,12.07243461,5.075989211,2.906422612
RC033,33,X273614N,33,996,3.206997085,3.254309562,3.550694452
RC034,34,X273614N,62,1954,3.075396825,3.780863377,3.689752262
RC035,35,X273614N,118,1158,9.247648903,4.344211729,4.191420416
RC036,36,X273614N,243,2657,8.379310345,5.283945348,4.94957207
RC037,37,X273614N,37,2366,1.539741989,2.52170965,1.730620916
RC038,38,X273614N,52,1205,4.136833731,5.419501967,5.217538218
RC039,39,X273614N,65,668,8.867667121,3.851134206,4.192155059
RC041,41,X273614N,58,738,7.286432161,4.533645219,3.533050442
RC042,42,X273614N,20,791,2.466091245,4.652393954,3.138824811
RC043,43,X273614N,34,2539,1.321414691,4.791241439,4.798907962
RC044,44,X273614N,19,1121,1.666666667,4.527167269,4.580596485
RC045,45,X273614N,44,1556,2.75,5.053051852,4.685187041
RC046,46,X273614N,30,2393,1.238134544,4.357655723,3.810209901
