StrainID,Nuclear,Population,Condition,VmaxRaw
SPL10,UWOPS05-217.3,Malaysian,CSM37,2.848
SPL10,UWOPS05-217.3,Malaysian,CSM37,3.13
SPL10,UWOPS05-217.3,Malaysian,CSM37,2.961
SPL10,UWOPS05-217.3,Malaysian,CSM37,4.472
SPL11,DBVPG6765,European,CSM37,5.204
SPL11,DBVPG6765,European,CSM37,5.097
SPL11,DBVPG6765,European,CSM37,4.393
SPL11,DBVPG6765,European,CSM37,5.378
SPL12,L-1374,European,CSM37,3.765
SPL12,L-1374,European,CSM37,5.177
SPL12,L-1374,European,CSM37,4.975
SPL12,L-1374,European,CSM37,5.05
SPL13,L-1528,European,CSM37,5.016
SPL13,L-1528,European,CSM37,5.807
SPL13,L-1528,European,CSM37,6.032
SPL13,L-1528,European,CSM37,5.155
SPL14,DBVPG1373,European,CSM37,3.754
SPL14,DBVPG1373,European,CSM37,5.352
SPL14,DBVPG1373,European,CSM37,5.978
SPL14,DBVPG1373,European,CSM37,4.202
SPL15,BC187,European,CSM37,5.44
SPL15,BC187,European,CSM37,5.525
SPL15,BC187,European,CSM37,5.769
SPL15,BC187,European,CSM37,5.748
SPL17,YJM975,European,CSM37,4.945
SPL17,YJM975,European,CSM37,5.62
SPL17,YJM975,European,CSM37,5.494
SPL17,YJM975,European,CSM37,4.36
SPL18,YJM981,European,CSM37,4.877
SPL18,YJM981,European,CSM37,6.695
SPL18,YJM981,European,CSM37,4.364
SPL19,322134S,mosaic,CSM37,1.138
SPL19,322134S,mosaic,CSM37,2.192
SPL19,322134S,mosaic,CSM37,1.486
SPL19,322134S,mosaic,CSM37,1.581
SPL2,NCYC110,African,CSM37,1.847
SPL2,NCYC110,African,CSM37,1.25
SPL2,NCYC110,African,CSM37,1.856
SPL2,NCYC110,African,CSM37,1.537
SPL20,273614N,mosaic,CSM37,0.983
SPL20,273614N,mosaic,CSM37,1.07
SPL20,273614N,mosaic,CSM37,1.394
SPL20,273614N,mosaic,CSM37,2.016
SPL21,378604X,mosaic,CSM37,3.059
SPL21,378604X,mosaic,CSM37,3.705
SPL21,378604X,mosaic,CSM37,4.023
SPL21,378604X,mosaic,CSM37,3.803
SPL22,S288c,mosaic,CSM37,4.34
SPL22,S288c,mosaic,CSM37,4.661
SPL22,S288c,mosaic,CSM37,4.728
SPL22,S288c,mosaic,CSM37,4.54
SPL3,SK1,African,CSM37,0.9
SPL3,SK1,African,CSM37,1.711
SPL3,SK1,African,CSM37,0.75
SPL3,SK1,African,CSM37,0.972
SPL4,Y55,African,CSM37,4.107
SPL4,Y55,African,CSM37,2.847
SPL4,Y55,African,CSM37,3.14
SPL4,Y55,African,CSM37,3.696
SPL5,YPS128,NorthAmerican,CSM37,6.917
SPL5,YPS128,NorthAmerican,CSM37,6.833
SPL5,YPS128,NorthAmerican,CSM37,6.716
SPL5,YPS128,NorthAmerican,CSM37,7.071
SPL6,YPS606,NorthAmerican,CSM37,6.536
SPL6,YPS606,NorthAmerican,CSM37,6.694
SPL6,YPS606,NorthAmerican,CSM37,6.607
SPL6,YPS606,NorthAmerican,CSM37,4.424
SPL7,Y12,Sake,CSM37,6.581
SPL7,Y12,Sake,CSM37,6.483
SPL7,Y12,Sake,CSM37,6.884
SPL7,Y12,Sake,CSM37,6.39
SPL8,UWOPS05-227.2,Malaysian,CSM37,1.824
SPL8,UWOPS05-227.2,Malaysian,CSM37,2.401
SPL8,UWOPS05-227.2,Malaysian,CSM37,2.219
SPL8,UWOPS05-227.2,Malaysian,CSM37,2.452
SPL9,UWOPS03-461.4,Malaysian,CSM37,1.505
SPL9,UWOPS03-461.4,Malaysian,CSM37,1.762
SPL9,UWOPS03-461.4,Malaysian,CSM37,2.628
SPL9,UWOPS03-461.4,Malaysian,CSM37,3.112
SPL1,DBVPG6044,African,CSM30,2.342
SPL1,DBVPG6044,African,CSM30,2.615
SPL1,DBVPG6044,African,CSM30,2.471
SPL1,DBVPG6044,African,CSM30,2.724
SPL10,UWOPS05-217.3,Malaysian,CSM30,2.651
SPL10,UWOPS05-217.3,Malaysian,CSM30,1.535
SPL10,UWOPS05-217.3,Malaysian,CSM30,2.756
SPL10,UWOPS05-217.3,Malaysian,CSM30,2.088
SPL11,DBVPG6765,European,CSM30,2.821
SPL11,DBVPG6765,European,CSM30,2.925
SPL11,DBVPG6765,European,CSM30,2.925
SPL11,DBVPG6765,European,CSM30,2.916
SPL12,L-1374,European,CSM30,2.259
SPL12,L-1374,European,CSM30,2.685
SPL12,L-1374,European,CSM30,2.503
SPL12,L-1374,European,CSM30,2.417
SPL13,L-1528,European,CSM30,2.912
SPL13,L-1528,European,CSM30,2.805
SPL13,L-1528,European,CSM30,2.988
SPL13,L-1528,European,CSM30,2.786
SPL14,DBVPG1373,European,CSM30,1.486
SPL14,DBVPG1373,European,CSM30,1.594
SPL14,DBVPG1373,European,CSM30,1.579
SPL14,DBVPG1373,European,CSM30,1.77
SPL15,BC187,European,CSM30,3.099
SPL15,BC187,European,CSM30,2.889
SPL15,BC187,European,CSM30,2.851
SPL15,BC187,European,CSM30,3.074
SPL17,YJM975,European,CSM30,2.428
SPL17,YJM975,European,CSM30,2.666
SPL17,YJM975,European,CSM30,3.017
SPL17,YJM975,European,CSM30,2.881
SPL19,322134S,mosaic,CSM30,1.528
SPL19,322134S,mosaic,CSM30,1.327
SPL19,322134S,mosaic,CSM30,1.701
SPL19,322134S,mosaic,CSM30,1.221
SPL2,NCYC110,African,CSM30,1.952
SPL2,NCYC110,African,CSM30,2.415
SPL2,NCYC110,African,CSM30,2.373
SPL2,NCYC110,African,CSM30,2.526
SPL20,273614N,mosaic,CSM30,2.202
SPL20,273614N,mosaic,CSM30,2.092
SPL20,273614N,mosaic,CSM30,2.626
SPL20,273614N,mosaic,CSM30,2.057
SPL21,378604X,mosaic,CSM30,2.827
SPL21,378604X,mosaic,CSM30,3.132
SPL21,378604X,mosaic,CSM30,3.134
SPL21,378604X,mosaic,CSM30,3.296
SPL22,S288c,mosaic,CSM30,2.425
SPL22,S288c,mosaic,CSM30,2.505
SPL22,S288c,mosaic,CSM30,2.317
SPL22,S288c,mosaic,CSM30,2.419
SPL3,SK1,African,CSM30,1.485
SPL3,SK1,African,CSM30,0.879
SPL3,SK1,African,CSM30,0.988
SPL3,SK1,African,CSM30,0.831
SPL4,Y55,African,CSM30,2.83
SPL4,Y55,African,CSM30,2.507
