StrainID,Nuclear,Mito,og_v_syn,Assay,Plate,Petite,Grande,Total,Petfreq,Pet.mean,Pet.median
YGR230W,bns1D,BY4741,original,fluccuation,1A,19,31,50,38,29.15778848,28.43665768
YGR230W,bns1D,BY4741,original,fluccuation,1B,23,43,66,34.84848485,29.15778848,28.43665768
YGR230W,bns1D,BY4741,original,fluccuation,1C,37,67,104,35.57692308,29.15778848,28.43665768
YGR230W,bns1D,BY4741,original,fluccuation,1D,32,59,91,35.16483516,29.15778848,28.43665768
YGR230W,bns1D,BY4741,original,fluccuation,1E,18,64,82,21.95121951,29.15778848,28.43665768
YGR230W,bns1D,BY4741,original,fluccuation,1F,16,50,66,24.24242424,29.15778848,28.43665768
YGR230W,bns1D,BY4741,original,fluccuation,1G,15,49,64,23.4375,29.15778848,28.43665768
YGR230W,bns1D,BY4741,original,fluccuation,1H,15,38,53,28.30188679,29.15778848,28.43665768
YGR230W,bns1D,BY4741,original,fluccuation,1I,22,49,71,30.98591549,29.15778848,28.43665768
YGR230W,bns1D,BY4741,original,fluccuation,1J,7,27,34,20.58823529,29.15778848,28.43665768
YGR230W,bns1D,BY4741,original,fluccuation,1K,17,46,63,26.98412698,29.15778848,28.43665768
YGR230W,bns1D,BY4741,original,fluccuation,1L,15,46,61,24.59016393,29.15778848,28.43665768
YGR230W,bns1D,BY4741,original,fluccuation,1M,11,43,54,20.37037037,29.15778848,28.43665768
YGR230W,bns1D,BY4741,original,fluccuation,1N,23,41,64,35.9375,29.15778848,28.43665768
YGR230W,bns1D,BY4741,original,fluccuation,1O,21,34,55,38.18181818,29.15778848,28.43665768
YGR230W,bns1D,BY4741,original,fluccuation,1P,14,35,49,28.57142857,29.15778848,28.43665768
YGR230W,bns1D,BY4741,original,fluccuation,1Q,8,22,30,26.66666667,29.15778848,28.43665768
YGR230W,bns1D,BY4741,original,fluccuation,1R,10,37,47,21.27659574,29.15778848,28.43665768
YGR230W,bns1D,BY4741,original,fluccuation,1S,14,27,41,34.14634146,29.15778848,28.43665768
YGR230W,bns1D,BY4741,original,fluccuation,1T,13,26,39,33.33333333,29.15778848,28.43665768
YLR233C,est1D,BY4741,original,fluccuation,5A,8,54,62,12.90322581,12.93212821,12.60545906
YLR233C,est1D,BY4741,original,fluccuation,5B,8,83,91,8.791208791,12.93212821,12.60545906
YLR233C,est1D,BY4741,original,fluccuation,5C,6,45,51,11.76470588,12.93212821,12.60545906
YLR233C,est1D,BY4741,original,fluccuation,5D,3,71,74,4.054054054,12.93212821,12.60545906
YLR233C,est1D,BY4741,original,fluccuation,5E,12,79,91,13.18681319,12.93212821,12.60545906
YLR233C,est1D,BY4741,original,fluccuation,5F,10,45,55,18.18181818,12.93212821,12.60545906
YLR233C,est1D,BY4741,original,fluccuation,5G,8,57,65,12.30769231,12.93212821,12.60545906
YLR233C,est1D,BY4741,original,fluccuation,5H,1,25,26,3.846153846,12.93212821,12.60545906
YLR233C,est1D,BY4741,original,fluccuation,5I,4,24,28,14.28571429,12.93212821,12.60545906
YLR233C,est1D,BY4741,original,fluccuation,5J,4,53,57,7.01754386,12.93212821,12.60545906
YLR233C,est1D,BY4741,original,fluccuation,5K,21,42,63,33.33333333,12.93212821,12.60545906
YLR233C,est1D,BY4741,original,fluccuation,5L,11,64,75,14.66666667,12.93212821,12.60545906
YLR233C,est1D,BY4741,original,fluccuation,5M,7,34,41,17.07317073,12.93212821,12.60545906
YLR233C,est1D,BY4741,original,fluccuation,5N,6,46,52,11.53846154,12.93212821,12.60545906
YLR233C,est1D,BY4741,original,fluccuation,5O,7,27,34,20.58823529,12.93212821,12.60545906
YLR233C,est1D,BY4741,original,fluccuation,5P,10,72,82,12.19512195,12.93212821,12.60545906
YLR233C,est1D,BY4741,original,fluccuation,5Q,3,53,56,5.357142857,12.93212821,12.60545906
YLR233C,est1D,BY4741,original,fluccuation,5R,7,61,68,10.29411765,12.93212821,12.60545906
YLR233C,est1D,BY4741,original,fluccuation,5S,11,68,79,13.92405063,12.93212821,12.60545906
