Strain,Person,Population,Condition,Grande,Petite,Total,Petitefrequency
Y12,Tuc,Sake,CSM30,4097,410,4507,9.096960284
Y12,Tuc,Sake,CSM30,4212,513,4725,10.85714286
Y12,Tuc,Sake,CSM30,3946,448,4394,10.19572144
Y12,Tuc,Sake,CSM30,4307,533,4840,11.01
Y12,Tuc,Sake,CSM30,1505,207,1712,12.09
Y12,Tuc,Sake,CSM30,1132,123,1255,9.8
Y12,Tuc,Sake,CSM30,1288,142,1430,9.93
Y12,Tuc,Sake,CSM37,1919,509,2428,20.96375618
Y12,Tuc,Sake,CSM37,3872,855,4727,18.08758198
Y12,Tuc,Sake,CSM37,2660,516,3176,16.24685139
Y12,Tuc,Sake,LS30,2244,211,2455,8.59
Y12,Tuc,Sake,LS30,3229,322,3551,9.07
Y12,Tuc,Sake,LS30,3131,330,3461,9.53
YPS128,HLF,NorthAmerican,LS30,507,0,507,0
YPS128,HLF,NorthAmerican,LS30,173,0,173,0
YPS128,HLF,NorthAmerican,LS30,544,4,548,0.729927007
YPS128,HLF,NorthAmerican,LS30,538,2,540,0.37037037
YPS128,HLF,NorthAmerican,LS30,577,0,577,0
YPS128,HLF,NorthAmerican,LS30,346,0,346,0
YPS128,HLF,NorthAmerican,CSM30,396,1,397,0.251889169
YPS128,HLF,NorthAmerican,CSM30,545,0,545,0
YPS128,HLF,NorthAmerican,CSM30,631,1,632,0.158227848
YPS128,HLF,NorthAmerican,CSM30,653,1,654,0.152905199
YPS128,HLF,NorthAmerican,CSM30,575,1,576,0.173611111
YPS128,HLF,NorthAmerican,CSM30,362,1,363,0.275482094
YPS128,HLF,NorthAmerican,CSM37,219,5,224,2.232142857
YPS128,HLF,NorthAmerican,CSM37,263,3,266,1.127819549
YPS128,HLF,NorthAmerican,CSM37,189,1,190,0.526315789
YPS128,HLF,NorthAmerican,CSM37,200,6,206,2.912621359
YPS128,HLF,NorthAmerican,CSM37,509,3,512,0.5859375
YPS606,HLF,NorthAmerican,LS30,342,8,350,2.285714286
YPS606,HLF,NorthAmerican,LS30,449,6,455,1.318681319
YPS606,HLF,NorthAmerican,LS30,282,4,286,1.398601399
YPS606,HLF,NorthAmerican,LS30,362,12,374,3.20855615
YPS606,HLF,NorthAmerican,LS30,396,4,400,1
YPS606,HLF,NorthAmerican,LS30,134,4,138,2.898550725
YPS606,HLF,NorthAmerican,CSM30,720,31,751,4.127829561
YPS606,HLF,NorthAmerican,CSM30,702,27,729,3.703703704
YPS606,HLF,NorthAmerican,CSM30,509,40,549,7.285974499
YPS606,HLF,NorthAmerican,CSM30,577,19,596,3.187919463
YPS606,HLF,NorthAmerican,CSM30,427,22,449,4.899777283
YPS606,HLF,NorthAmerican,CSM30,292,6,298,2.013422819
YPS606,HLF,NorthAmerican,CSM37,296,14,310,4.516129032
YPS606,HLF,NorthAmerican,CSM37,453,27,480,5.625
YPS606,HLF,NorthAmerican,CSM37,238,18,256,7.03125
YPS606,HLF,NorthAmerican,CSM37,354,18,372,4.838709677
YPS606,HLF,NorthAmerican,CSM37,304,25,329,7.598784195
YPS606,HLF,NorthAmerican,CSM37,234,7,241,2.904564315
UWOPS052173,HLF,Malaysian,LS30,238,3,241,1.244813278
UWOPS052173,HLF,Malaysian,LS30,316,5,321,1.557632399
UWOPS052173,HLF,Malaysian,LS30,212,2,214,0.934579439
UWOPS052173,HLF,Malaysian,LS30,151,4,155,2.580645161
UWOPS052173,HLF,Malaysian,LS30,206,3,209,1.435406699
UWOPS052173,HLF,Malaysian,LS30,233,2,235,0.85106383
UWOPS052173,HLF,Malaysian,LS30,227,0,227,0
UWOPS052173,HLF,Malaysian,CSM30,364,13,377,3.448275862
UWOPS052173,HLF,Malaysian,CSM30,278,10,288,3.472222222
UWOPS052173,HLF,Malaysian,CSM30,358,8,366,2.18579235
UWOPS052173,HLF,Malaysian,CSM30,204,6,210,2.857142857
UWOPS052173,HLF,Malaysian,CSM30,334,7,341,2.052785924
UWOPS052173,HLF,Malaysian,CSM30,219,7,226,3.097345133
UWOPS052173,HLF,Malaysian,CSM37,265,21,286,7.342657343
UWOPS052173,HLF,Malaysian,CSM37,192,11,203,5.418719212
UWOPS052173,HLF,Malaysian,CSM37,150,17,167,10.17964072
UWOPS052173,HLF,Malaysian,CSM37,274,15,289,5.190311419
UWOPS052173,HLF,Malaysian,CSM37,215,30,245,12.24489796
UWOPS052173,HLF,Malaysian,CSM37,127,6,133,4.511278195
L1528,HLF,European,LS30,429,4,433,0.923787529
L1528,HLF,European,LS30,455,5,460,1.086956522
