"Strain" "Nuclear" "Mito"
"145" "RC301" "301" "NCYC110"
"146" "RC302" "302" "NCYC110"
"147" "RC303" "303" "NCYC110"
"148" "RC304" "304" "NCYC110"
"149" "RC305" "305" "NCYC110"
"150" "RC306" "306" "NCYC110"
"151" "RC307" "307" "NCYC110"
"152" "RC308" "308" "NCYC110"
"154" "RC310" "310" "NCYC110"
"155" "RC311" "311" "NCYC110"
"156" "RC312" "312" "NCYC110"
"157" "RC313" "313" "NCYC110"
"158" "RC314" "314" "NCYC110"
"159" "RC315" "315" "NCYC110"
"160" "RC316" "316" "NCYC110"
"161" "RC317" "317" "NCYC110"
"162" "RC318" "318" "NCYC110"
"163" "RC319" "319" "NCYC110"
"164" "RC320" "320" "NCYC110"
"165" "RC321" "321" "NCYC110"
"166" "RC322" "322" "NCYC110"
"169" "RC325" "325" "NCYC110"
"170" "RC326" "326" "NCYC110"
"171" "RC327" "327" "NCYC110"
"172" "RC328" "328" "NCYC110"
"173" "RC329" "329" "NCYC110"
"174" "RC330" "330" "NCYC110"
"175" "RC331" "331" "NCYC110"
"176" "RC332" "332" "NCYC110"
"177" "RC333" "333" "NCYC110"
"178" "RC334" "334" "NCYC110"
"181" "RC337" "337" "NCYC110"
"182" "RC338" "338" "NCYC110"
"183" "RC339" "339" "NCYC110"
"184" "RC340" "340" "NCYC110"
"185" "RC341" "341" "NCYC110"
"186" "RC342" "342" "NCYC110"
"187" "RC343" "343" "NCYC110"
"189" "RC345" "345" "NCYC110"
"190" "RC346" "346" "NCYC110"
"191" "RC347" "347" "NCYC110"
