Strain	Nuclear	Mito	Petite	Grande
RC301	301	NCYC110	44	406
RC302	302	NCYC110	45	840
RC303	303	NCYC110	23	585
RC304	304	NCYC110	174	1050
RC305	305	NCYC110	199	1139
RC306	306	NCYC110	111	805
RC307	307	NCYC110	77	720
RC308	308	NCYC110	5	1721
RC310	310	NCYC110	266	2098
RC311	311	NCYC110	114	1469
RC312	312	NCYC110	103	1841
RC313	313	NCYC110	253	1570
RC314	314	NCYC110	240	2555
RC315	315	NCYC110	23	1399
RC316	316	NCYC110	111	867
RC317	317	NCYC110	182	1933
RC318	318	NCYC110	87	619
RC319	319	NCYC110	28	311
RC320	320	NCYC110	17	274
RC321	321	NCYC110	156	1219
RC322	322	NCYC110	105	1054
RC325	325	NCYC110	73	881
RC326	326	NCYC110	21	741
RC327	327	NCYC110	48	562
RC328	328	NCYC110	70	895
RC329	329	NCYC110	127	874
RC330	330	NCYC110	31	352
RC331	331	NCYC110	96	802
RC332	332	NCYC110	23	1770
RC333	333	NCYC110	194	791
RC334	334	NCYC110	234	1008
RC337	337	NCYC110	114	786
RC338	338	NCYC110	13	703
RC339	339	NCYC110	12	1022
RC340	340	NCYC110	0	620
RC341	341	NCYC110	23	319
RC342	342	NCYC110	224	1319
RC343	343	NCYC110	250	774
RC345	345	NCYC110	1	1084
RC346	346	NCYC110	22	395
RC347	347	NCYC110	357	1693
