"Strain" "Nuclear" "Mito" "Petite" "Grande"
"1" "RC001" 1 "YPS606" 131 2216
"2" "RC002" 2 "YPS606" 1 897
"3" "RC004" 4 "YPS606" 177 1397
"4" "RC005" 5 "YPS606" 2 779
"5" "RC007" 7 "YPS606" 20 1116
"6" "RC009" 9 "YPS606" 182 1185
"7" "RC010" 10 "YPS606" 154 1199
"8" "RC011" 11 "YPS606" 10 527
"9" "RC013" 13 "YPS606" 20 2051
"10" "RC016" 16 "YPS606" 60 1236
"11" "RC018" 18 "YPS606" 18 1229
"12" "RC020" 20 "YPS606" 0 1240
"13" "RC022" 22 "YPS606" 61 1463
"14" "RC023" 23 "YPS606" 101 1727
"15" "RC026" 26 "YPS606" 3 1032
"16" "RC028" 28 "YPS606" 85 1549
"17" "RC029" 29 "YPS606" 10 729
"18" "RC032" 32 "YPS606" 33 379
"19" "RC034" 34 "YPS606" 285 2076
"20" "RC035" 35 "YPS606" 73 891
"21" "RC036" 36 "YPS606" 45 555
"22" "RC037" 37 "YPS606" 11 652
"23" "RC038" 38 "YPS606" 71 1344
"24" "RC039" 39 "YPS606" 367 2745
"25" "RC041" 41 "YPS606" 62 1216
"26" "RC042" 42 "YPS606" 3 487
"27" "RC043" 43 "YPS606" 33 1162
"28" "RC044" 44 "YPS606" 9 463
"29" "RC045" 45 "YPS606" 96 1285
"30" "RC046" 46 "YPS606" 38 977
"31" "RC047" 47 "YPS606" 71 1026
"32" "RC102" 102 "YPS606" 13 1304
"33" "RC103" 103 "YPS606" 103 1197
"34" "RC104" 104 "YPS606" 3 1098
"35" "RC105" 105 "YPS606" 55 1873
"36" "RC107" 107 "YPS606" 39 831
"37" "RC108" 108 "YPS606" 59 1564
"38" "RC109" 109 "YPS606" 45 1831
"39" "RC111" 111 "YPS606" 38 1392
"40" "RC112" 112 "YPS606" 47 1884
"41" "RC113" 113 "YPS606" 6 642
"42" "RC114" 114 "YPS606" 48 2382
"43" "RC115" 115 "YPS606" 25 596
"44" "RC117" 117 "YPS606" 21 903
"45" "RC118" 118 "YPS606" 5 1299
"46" "RC119" 119 "YPS606" 25 411
"47" "RC120" 120 "YPS606" 3 1792
"48" "RC121" 121 "YPS606" 22 1246
"49" "RC123" 123 "YPS606" 1 761
"50" "RC124" 124 "YPS606" 64 1670
"51" "RC125" 125 "YPS606" 33 670
"52" "RC126" 126 "YPS606" 9 1501
"53" "RC127" 127 "YPS606" 53 1841
"54" "RC129" 129 "YPS606" 3 1001
"55" "RC131" 131 "YPS606" 38 1123
"56" "RC132" 132 "YPS606" 2 1319
"57" "RC133" 133 "YPS606" 36 1195
"58" "RC134" 134 "YPS606" 30 958
"59" "RC135" 135 "YPS606" 38 2088
"60" "RC136" 136 "YPS606" 6 1102
"61" "RC137" 137 "YPS606" 37 1959
"62" "RC139" 139 "YPS606" 26 1038
"63" "RC140" 140 "YPS606" 10 956
"64" "RC141" 141 "YPS606" 14 1027
"65" "RC142" 142 "YPS606" 25 1913
"66" "RC143" 143 "YPS606" 0 688
"67" "RC145" 145 "YPS606" 61 1912
"68" "RC201" 201 "YPS606" 13 1250
"69" "RC202" 202 "YPS606" 0 707
"70" "RC203" 203 "YPS606" 12 535
"71" "RC205" 205 "YPS606" 7 1140
"72" "RC206" 206 "YPS606" 4 1843
"73" "RC207" 207 "YPS606" 12 1764
"74" "RC208" 208 "YPS606" 16 1369
"75" "RC209" 209 "YPS606" 3 1140
"76" "RC210" 210 "YPS606" 76 1740
"77" "RC212" 212 "YPS606" 32 1668
"78" "RC214" 214 "YPS606" 5 1772
"79" "RC215" 215 "YPS606" 42 2186
"80" "RC216" 216 "YPS606" 34 1395
"81" "RC217" 217 "YPS606" 18 1308
"82" "RC218" 218 "YPS606" 11 1273
"83" "RC221" 221 "YPS606" 2 1578
"84" "RC222" 222 "YPS606" 17 1370
"85" "RC224" 224 "YPS606" 105 1753
"86" "RC227" 227 "YPS606" 5 854
"87" "RC228" 228 "YPS606" 14 870
"88" "RC229" 229 "YPS606" 14 1799
"89" "RC230" 230 "YPS606" 17 1360
"90" "RC231" 231 "YPS606" 1 1300
"91" "RC232" 232 "YPS606" 6 1470
"92" "RC233" 233 "YPS606" 5 1047
"93" "RC234" 234 "YPS606" 36 1632
"94" "RC236" 236 "YPS606" 42 2451
"95" "RC237" 237 "YPS606" 6 1148
"96" "RC239" 239 "YPS606" 4 1241
"97" "RC240" 240 "YPS606" 1 711
"98" "RC241" 241 "YPS606" 30 2436
"99" "RC242" 242 "YPS606" 42 2002
"100" "RC244" 244 "YPS606" 9 768
"101" "RC245" 245 "YPS606" 10 1223
"102" "RC246" 246 "YPS606" 85 2619
"103" "RC247" 247 "YPS606" 11 960
"104" "RC248" 248 "YPS606" 37 1877
"105" "RC302" 302 "YPS606" 15 904
"106" "RC303" 303 "YPS606" 34 954
"107" "RC304" 304 "YPS606" 19 736
"108" "RC305" 305 "YPS606" 31 1274
"109" "RC306" 306 "YPS606" 25 1135
"110" "RC307" 307 "YPS606" 16 1110
"111" "RC308" 308 "YPS606" 8 455
"112" "RC309" 309 "YPS606" 63 1736
"113" "RC310" 310 "YPS606" 10 1311
"114" "RC312" 312 "YPS606" 46 1147
"115" "RC313" 313 "YPS606" 85 1302
"116" "RC314" 314 "YPS606" 26 2601
"117" "RC315" 315 "YPS606" 9 1375
"118" "RC318" 318 "YPS606" 16 1215
"119" "RC320" 320 "YPS606" 18 1474
"120" "RC321" 321 "YPS606" 24 953
"121" "RC325" 325 "YPS606" 9 650
"122" "RC326" 326 "YPS606" 23 1281
"123" "RC327" 327 "YPS606" 21 897
"124" "RC328" 328 "YPS606" 13 992
"125" "RC329" 329 "YPS606" 17 1115
"126" "RC330" 330 "YPS606" 6 746
"127" "RC331" 331 "YPS606" 25 1011
"128" "RC332" 332 "YPS606" 154 797
"129" "RC333" 333 "YPS606" 205 1364
"130" "RC334" 334 "YPS606" 28 1172
"131" "RC337" 337 "YPS606" 37 1226
"132" "RC338" 338 "YPS606" 85 1758
"133" "RC340" 340 "YPS606" 76 985
"134" "RC341" 341 "YPS606" 14 1346
"135" "RC342" 342 "YPS606" 22 813
"136" "RC345" 345 "YPS606" 6 1099
"137" "RC346" 346 "YPS606" 11 1478
"138" "RC347" 347 "YPS606" 86 1283
"139" "RC014" 14 "YPS606" 16 1235
"140" "RC106" 106 "YPS606" 3 1048
"141" "RC213" 213 "YPS606" 3 1418
"142" "RC243" 243 "YPS606" 23 2503
"143" "RC311" 311 "YPS606" 19 1283
"144" "RC316" 316 "YPS606" 52 1155
"145" "RC317" 317 "YPS606" 18 524
"146" "RC322" 322 "YPS606" 11 1224
"147" "RC339" 339 "YPS606" 39 2006
"148" "RC024" 24 "YPS606" 2 437
"149" "RC025" 25 "YPS606" 205 3148
"150" "RC030" 30 "YPS606" 0 443
"151" "RC343" 343 "YPS606" 46 1683
"152" "RC008" 8 "YPS606" 93 1053
"153" "RC012" 12 "YPS606" 49 1140
"154" "RC048" 48 "YPS606" 68 1844
"155" "RC144" 144 "YPS606" 69 1989
"156" "RC146" 146 "YPS606" 31 1399
"157" "RC219" 219 "YPS606" 56 2609
"158" "RC301" 301 "YPS606" 9 575
