StrainID,Nuclear,Mito,og_v_syn,Assay,Plate,Petite,Grande,Total,Petfreq,Pet.mean,Pet.median
YGR187C,hgh1D,BY4741,original,fluccuation,2A,30,65,95,31.57894737,23.95758035,22.22222222
YGR187C,hgh1D,BY4741,original,fluccuation,2B,12,67,79,15.18987342,23.95758035,22.22222222
YGR187C,hgh1D,BY4741,original,fluccuation,2C,25,71,96,26.04166667,23.95758035,22.22222222
YGR187C,hgh1D,BY4741,original,fluccuation,2D,15,71,86,17.44186047,23.95758035,22.22222222
YGR187C,hgh1D,BY4741,original,fluccuation,2E,11,44,55,20,23.95758035,22.22222222
YGR187C,hgh1D,BY4741,original,fluccuation,2F,16,66,82,19.51219512,23.95758035,22.22222222
YGR187C,hgh1D,BY4741,original,fluccuation,2G,5,22,27,18.51851852,23.95758035,22.22222222
YGR187C,hgh1D,BY4741,original,fluccuation,2H,20,47,67,29.85074627,23.95758035,22.22222222
YGR187C,hgh1D,BY4741,original,fluccuation,2J,21,46,67,31.34328358,23.95758035,22.22222222
YGR187C,hgh1D,BY4741,original,fluccuation,2L,13,47,60,21.66666667,23.95758035,22.22222222
YGR187C,hgh1D,BY4741,original,fluccuation,2M,21,84,105,20,23.95758035,22.22222222
YGR187C,hgh1D,BY4741,original,fluccuation,2N,11,47,58,18.96551724,23.95758035,22.22222222
YGR187C,hgh1D,BY4741,original,fluccuation,2P,22,54,76,28.94736842,23.95758035,22.22222222
YGR187C,hgh1D,BY4741,original,fluccuation,2Q,12,23,35,34.28571429,23.95758035,22.22222222
YGR187C,hgh1D,BY4741,original,fluccuation,2R,13,37,50,26,23.95758035,22.22222222
YGR187C,hgh1D,BY4741,original,fluccuation,2S,18,52,70,25.71428571,23.95758035,22.22222222
YGR187C,hgh1D,BY4741,original,fluccuation,2T,10,35,45,22.22222222,23.95758035,22.22222222
ATB102,hgh1D,NCYC110,synthetic,fluccuation,4A,29,49,78,37.17948718,31.71489009,30.57397505
ATB102,hgh1D,NCYC110,synthetic,fluccuation,4B,54,105,159,33.96226415,31.71489009,30.57397505
ATB102,hgh1D,NCYC110,synthetic,fluccuation,4C,23,52,75,30.66666667,31.71489009,30.57397505
ATB102,hgh1D,NCYC110,synthetic,fluccuation,4D,11,53,64,17.1875,31.71489009,30.57397505
ATB102,hgh1D,NCYC110,synthetic,fluccuation,4E,28,66,94,29.78723404,31.71489009,30.57397505
ATB102,hgh1D,NCYC110,synthetic,fluccuation,4F,57,130,187,30.48128342,31.71489009,30.57397505
ATB102,hgh1D,NCYC110,synthetic,fluccuation,4G,28,69,97,28.86597938,31.71489009,30.57397505
ATB102,hgh1D,NCYC110,synthetic,fluccuation,4H,46,65,111,41.44144144,31.71489009,30.57397505
ATB102,hgh1D,NCYC110,synthetic,fluccuation,4I,37,96,133,27.81954887,31.71489009,30.57397505
ATB102,hgh1D,NCYC110,synthetic,fluccuation,4J,6,30,36,16.66666667,31.71489009,30.57397505
ATB102,hgh1D,NCYC110,synthetic,fluccuation,4K,19,68,87,21.83908046,31.71489009,30.57397505
ATB102,hgh1D,NCYC110,synthetic,fluccuation,4L,42,62,104,40.38461538,31.71489009,30.57397505
ATB102,hgh1D,NCYC110,synthetic,fluccuation,4M,38,73,111,34.23423423,31.71489009,30.57397505
ATB102,hgh1D,NCYC110,synthetic,fluccuation,4N,27,54,81,33.33333333,31.71489009,30.57397505
ATB102,hgh1D,NCYC110,synthetic,fluccuation,4O,22,39,61,36.06557377,31.71489009,30.57397505
ATB102,hgh1D,NCYC110,synthetic,fluccuation,4P,16,20,36,44.44444444,31.71489009,30.57397505
ATB102,hgh1D,NCYC110,synthetic,fluccuation,4Q,30,25,55,54.54545455,31.71489009,30.57397505
ATB102,hgh1D,NCYC110,synthetic,fluccuation,4R,30,70,100,30,31.71489009,30.57397505
ATB102,hgh1D,NCYC110,synthetic,fluccuation,4S,23,56,79,29.11392405,31.71489009,30.57397505
ATB102,hgh1D,NCYC110,synthetic,fluccuation,4T,7,36,43,16.27906977,31.71489009,30.57397505
ATB103,hgh1D,YPS606,synthetic,fluccuation,2A,10,68,78,12.82051282,11.16111039,10.34482759
ATB103,hgh1D,YPS606,synthetic,fluccuation,2B,14,129,143,9.79020979,11.16111039,10.34482759
ATB103,hgh1D,YPS606,synthetic,fluccuation,2C,6,84,90,6.666666667,11.16111039,10.34482759
ATB103,hgh1D,YPS606,synthetic,fluccuation,2D,9,80,89,10.11235955,11.16111039,10.34482759
ATB103,hgh1D,YPS606,synthetic,fluccuation,2E,4,28,32,12.5,11.16111039,10.34482759
ATB103,hgh1D,YPS606,synthetic,fluccuation,2F,8,54,62,12.90322581,11.16111039,10.34482759
ATB103,hgh1D,YPS606,synthetic,fluccuation,2G,4,22,26,15.38461538,11.16111039,10.34482759
ATB103,hgh1D,YPS606,synthetic,fluccuation,2H,3,15,18,16.66666667,11.16111039,10.34482759
ATB103,hgh1D,YPS606,synthetic,fluccuation,2I,3,26,29,10.34482759,11.16111039,10.34482759
ATB103,hgh1D,YPS606,synthetic,fluccuation,2J,11,85,96,11.45833333,11.16111039,10.34482759
ATB103,hgh1D,YPS606,synthetic,fluccuation,2L,2,15,17,11.76470588,11.16111039,10.34482759
ATB103,hgh1D,YPS606,synthetic,fluccuation,2M,9,110,119,7.56302521,11.16111039,10.34482759
ATB103,hgh1D,YPS606,synthetic,fluccuation,2N,8,75,83,9.638554217,11.16111039,10.34482759
ATB103,hgh1D,YPS606,synthetic,fluccuation,2O,8,70,78,10.25641026,11.16111039,10.34482759
ATB103,hgh1D,YPS606,synthetic,fluccuation,2P,2,8,10,20,11.16111039,10.34482759
ATB103,hgh1D,YPS606,synthetic,fluccuation,2Q,4,27,31,12.90322581,11.16111039,10.34482759
ATB103,hgh1D,YPS606,synthetic,fluccuation,2R,2,35,37,5.405405405,11.16111039,10.34482759
ATB103,hgh1D,YPS606,synthetic,fluccuation,2S,2,32,34,5.882352941,11.16111039,10.34482759
ATB103,hgh1D,YPS606,synthetic,fluccuation,2T,2,18,20,10,11.16111039,10.34482759
BY4741,parent,BY4741,original,fluccuation,6A,21,57,78,26.92307692,30.45553444,29.05722327
BY4741,parent,BY4741,original,fluccuation,6B,24,71,95,25.26315789,30.45553444,29.05722327
BY4741,parent,BY4741,original,fluccuation,6C,45,111,156,28.84615385,30.45553444,29.05722327
BY4741,parent,BY4741,original,fluccuation,6D,33,70,103,32.03883495,30.45553444,29.05722327
BY4741,parent,BY4741,original,fluccuation,6E,24,58,82,29.26829268,30.45553444,29.05722327
BY4741,parent,BY4741,original,fluccuation,6F,31,53,84,36.9047619,30.45553444,29.05722327
BY4741,parent,BY4741,original,fluccuation,6G,31,49,80,38.75,30.45553444,29.05722327
BY4741,parent,BY4741,original,fluccuation,6H,12,45,57,21.05263158,30.45553444,29.05722327
BY4741,parent,BY4741,original,fluccuation,6I,25,100,125,20,30.45553444,29.05722327
BY4741,parent,BY4741,original,fluccuation,6J,43,101,144,29.86111111,30.45553444,29.05722327
BY4741,parent,BY4741,original,fluccuation,6K,35,89,124,28.22580645,30.45553444,29.05722327
BY4741,parent,BY4741,original,fluccuation,6L,43,107,150,28.66666667,30.45553444,29.05722327
BY4741,parent,BY4741,original,fluccuation,6M,29,40,69,42.02898551,30.45553444,29.05722327
BY4741,parent,BY4741,original,fluccuation,6N,29,52,81,35.80246914,30.45553444,29.05722327
BY4741,parent,BY4741,original,fluccuation,6O,22,61,83,26.5060241,30.45553444,29.05722327
BY4741,parent,BY4741,original,fluccuation,6P,26,70,96,27.08333333,30.45553444,29.05722327
BY4741,parent,BY4741,original,fluccuation,6Q,30,63,93,32.25806452,30.45553444,29.05722327
BY4741,parent,BY4741,original,fluccuation,6R,37,77,114,32.45614035,30.45553444,29.05722327
BY4741,parent,BY4741,original,fluccuation,6S,44,47,91,48.35164835,30.45553444,29.05722327
BY4741,parent,BY4741,original,fluccuation,6T,16,69,85,18.82352941,30.45553444,29.05722327
ATB104,parent,NCYC110,synthetic,fluccuation,6A,6,21,27,22.22222222,16.73664825,16.95704216
ATB104,parent,NCYC110,synthetic,fluccuation,6B,9,51,60,15,16.73664825,16.95704216
ATB104,parent,NCYC110,synthetic,fluccuation,6C,3,39,42,7.142857143,16.73664825,16.95704216
ATB104,parent,NCYC110,synthetic,fluccuation,6D,7,26,33,21.21212121,16.73664825,16.95704216
ATB104,parent,NCYC110,synthetic,fluccuation,6E,11,62,73,15.06849315,16.73664825,16.95704216
ATB104,parent,NCYC110,synthetic,fluccuation,6F,8,33,41,19.51219512,16.73664825,16.95704216
ATB104,parent,NCYC110,synthetic,fluccuation,6G,12,31,43,27.90697674,16.73664825,16.95704216
ATB104,parent,NCYC110,synthetic,fluccuation,6H,1,9,10,10,16.73664825,16.95704216
ATB104,parent,NCYC110,synthetic,fluccuation,6I,27,93,120,22.5,16.73664825,16.95704216
ATB104,parent,NCYC110,synthetic,fluccuation,6J,2,27,29,6.896551724,16.73664825,16.95704216
ATB104,parent,NCYC110,synthetic,fluccuation,6K,2,30,32,6.25,16.73664825,16.95704216
ATB104,parent,NCYC110,synthetic,fluccuation,6L,5,14,19,26.31578947,16.73664825,16.95704216
ATB104,parent,NCYC110,synthetic,fluccuation,6M,14,84,98,14.28571429,16.73664825,16.95704216
ATB104,parent,NCYC110,synthetic,fluccuation,6N,10,40,50,20,16.73664825,16.95704216
ATB104,parent,NCYC110,synthetic,fluccuation,6O,18,85,103,17.47572816,16.73664825,16.95704216
ATB104,parent,NCYC110,synthetic,fluccuation,6P,7,43,50,14,16.73664825,16.95704216
ATB104,parent,NCYC110,synthetic,fluccuation,6Q,11,38,49,22.44897959,16.73664825,16.95704216
ATB104,parent,NCYC110,synthetic,fluccuation,6R,12,61,73,16.43835616,16.73664825,16.95704216
ATB104,parent,NCYC110,synthetic,fluccuation,6S,3,23,26,11.53846154,16.73664825,16.95704216
ATB104,parent,NCYC110,synthetic,fluccuation,6T,20,88,108,18.51851852,16.73664825,16.95704216
ATB105,parent,YPS606,synthetic,fluccuation,5A,2,96,98,2.040816327,4.662592246,3.306010929
ATB105,parent,YPS606,synthetic,fluccuation,5B,3,84,87,3.448275862,4.662592246,3.306010929
ATB105,parent,YPS606,synthetic,fluccuation,5C,0,61,61,0,4.662592246,3.306010929
ATB105,parent,YPS606,synthetic,fluccuation,5D,1,70,71,1.408450704,4.662592246,3.306010929
ATB105,parent,YPS606,synthetic,fluccuation,5E,2,42,44,4.545454545,4.662592246,3.306010929
ATB105,parent,YPS606,synthetic,fluccuation,5F,17,97,114,14.9122807,4.662592246,3.306010929
ATB105,parent,YPS606,synthetic,fluccuation,5G,2,59,61,3.278688525,4.662592246,3.306010929
ATB105,parent,YPS606,synthetic,fluccuation,5H,1,57,58,1.724137931,4.662592246,3.306010929
ATB105,parent,YPS606,synthetic,fluccuation,5I,4,52,56,7.142857143,4.662592246,3.306010929
ATB105,parent,YPS606,synthetic,fluccuation,5J,2,64,66,3.03030303,4.662592246,3.306010929
ATB105,parent,YPS606,synthetic,fluccuation,5K,0,37,37,0,4.662592246,3.306010929
ATB105,parent,YPS606,synthetic,fluccuation,5L,3,48,51,5.882352941,4.662592246,3.306010929
ATB105,parent,YPS606,synthetic,fluccuation,5M,1,43,44,2.272727273,4.662592246,3.306010929
ATB105,parent,YPS606,synthetic,fluccuation,5N,2,33,35,5.714285714,4.662592246,3.306010929
ATB105,parent,YPS606,synthetic,fluccuation,5O,1,49,50,2,4.662592246,3.306010929
ATB105,parent,YPS606,synthetic,fluccuation,5P,5,30,35,14.28571429,4.662592246,3.306010929
ATB105,parent,YPS606,synthetic,fluccuation,5Q,2,58,60,3.333333333,4.662592246,3.306010929
ATB105,parent,YPS606,synthetic,fluccuation,5R,5,69,74,6.756756757,4.662592246,3.306010929
ATB105,parent,YPS606,synthetic,fluccuation,5S,0,14,14,0,4.662592246,3.306010929
ATB105,parent,YPS606,synthetic,fluccuation,5T,7,54,61,11.47540984,4.662592246,3.306010929
YAR035W,yat1D,BY4741,original,fluccuation,4A,39,99,138,28.26086957,32.18228913,30.93629344
YAR035W,yat1D,BY4741,original,fluccuation,4B,16,76,92,17.39130435,32.18228913,30.93629344
YAR035W,yat1D,BY4741,original,fluccuation,4C,43,74,117,36.75213675,32.18228913,30.93629344
YAR035W,yat1D,BY4741,original,fluccuation,4D,34,84,118,28.81355932,32.18228913,30.93629344
YAR035W,yat1D,BY4741,original,fluccuation,4E,18,38,56,32.14285714,32.18228913,30.93629344
YAR035W,yat1D,BY4741,original,fluccuation,4F,19,47,66,28.78787879,32.18228913,30.93629344
YAR035W,yat1D,BY4741,original,fluccuation,4G,42,104,146,28.76712329,32.18228913,30.93629344
YAR035W,yat1D,BY4741,original,fluccuation,4H,8,30,38,21.05263158,32.18228913,30.93629344
YAR035W,yat1D,BY4741,original,fluccuation,4I,33,57,90,36.66666667,32.18228913,30.93629344
YAR035W,yat1D,BY4741,original,fluccuation,4J,27,53,80,33.75,32.18228913,30.93629344
