"","StrainID","GeneKO","Mitotype","Grande","Petite","Total","Pet.Freq","Pet.Mean"
"1","YGR230W","BNS1","BY4741",3200,389,3589,10.83867373,12.01056362
"2","YGR230W","BNS1","BY4741",2697,392,3089,12.690191,12.01056362
"3","YGR230W","BNS1","BY4741",3870,553,4423,12.50282614,12.01056362
"4","PARENT","BY4741","BY4741",1870,409,2279,17.94646775,19.05049716
"5","PARENT","BY4741","BY4741",1673,304,1977,15.37683359,19.05049716
"6","PARENT","BY4741","BY4741",1490,269,1759,15.29277999,19.05049716
"7","PARENT","BY4741","BY4741",1175,306,1481,20.66171506,19.05049716
"8","PARENT","BY4741","BY4741",1359,419,1778,23.56580427,19.05049716
"9","PARENT","BY4741","BY4741",2327,605,2932,20.63437926,19.05049716
"10","PARENT","BY4741","BY4741",901,223,1124,19.87550022,19.05049716
"11","YGR187C","HGH1","BY4741",2445,313,2758,11.34880348,12.01107324
"12","YGR187C","HGH1","BY4741",4082,542,4624,11.72145329,12.01107324
"13","YGR187C","HGH1","BY4741",3055,455,3510,12.96296296,12.01107324
"14","YGR229C","SMI1","BY4741",1781,273,2054,13.29113924,21.68899192
"15","YGR229C","SMI1","BY4741",1519,689,2208,31.20471014,21.68899192
"16","YGR229C","SMI1","BY4741",1502,389,1891,20.57112639,21.68899192
"17","ATB100","BNS1","NCYC110",883,259,1142,22.67950963,17.49492872
"18","ATB100","BNS1","NCYC110",854,278,1132,24.55830389,17.49492872
"19","ATB100","BNS1","NCYC110",881,178,1059,16.80830973,17.49492872
"20","ATB100","BNS1","NCYC110",657,180,837,21.50537634,17.49492872
"21","ATB100","BNS1","NCYC110",688,68,756,8.994708995,17.49492872
"22","ATB100","BNS1","NCYC110",630,126,756,16.66666667,17.49492872
"23","ATB100","BNS1","NCYC110",889,101,990,10.2020202,17.49492872
"24","ATB100","BNS1","NCYC110",321,66,387,17.05426357,17.49492872
"25","ATB100","BNS1","NCYC110",726,178,904,19.69026549,17.49492872
"26","ATB100","BNS1","NCYC110",788,159,947,16.78986272,17.49492872
"27","ATB100","BNS1","NCYC110",622,149,771,19.32555123,17.49492872
"28","ATB100","BNS1","NCYC110",1109,203,1312,15.47256098,17.49492872
"29","PARENT","BY4741","NCYC110",929,179,1108,16.15523466,12.64784665
"30","PARENT","BY4741","NCYC110",1143,193,1336,14.44610778,12.64784665
"31","PARENT","BY4741","NCYC110",853,185,1038,17.82273603,12.64784665
"32","PARENT","BY4741","NCYC110",860,85,945,8.994708995,12.64784665
"33","PARENT","BY4741","NCYC110",997,214,1211,17.671346,12.64784665
"34","PARENT","BY4741","NCYC110",1016,288,1304,22.08588957,12.64784665
"35","PARENT","BY4741","NCYC110",187,18,205,8.780487805,12.64784665
"36","PARENT","BY4741","NCYC110",208,31,239,12.9707113,12.64784665
"37","PARENT","BY4741","NCYC110",243,30,273,10.98901099,12.64784665
"38","PARENT","BY4741","NCYC110",342,20,362,5.524861878,12.64784665
"39","PARENT","BY4741","NCYC110",298,28,326,8.588957055,12.64784665
"40","PARENT","BY4741","NCYC110",274,23,297,7.744107744,12.64784665
"41","ATB102","HGH1","NCYC110",619,160,779,20.53915276,22.44941186
"42","ATB102","HGH1","NCYC110",509,137,646,21.20743034,22.44941186
"43","ATB102","HGH1","NCYC110",793,164,957,17.1368861,22.44941186
"44","ATB102","HGH1","NCYC110",892,288,1180,24.40677966,22.44941186
"45","ATB102","HGH1","NCYC110",617,179,796,22.48743719,22.44941186
"46","ATB102","HGH1","NCYC110",655,201,856,23.48130841,22.44941186
"47","ATB102","HGH1","NCYC110",548,136,684,19.88304094,22.44941186
"48","ATB102","HGH1","NCYC110",1041,318,1359,23.3995585,22.44941186
"49","ATB102","HGH1","NCYC110",511,160,671,23.84500745,22.44941186
"50","ATB102","HGH1","NCYC110",944,328,1272,25.78616352,22.44941186
"51","ATB102","HGH1","NCYC110",751,237,988,23.98785425,22.44941186
"52","ATB102","HGH1","NCYC110",1140,345,1485,23.23232323,22.44941186
"53","ATB106","SMI1","NCYC110",51,9,60,15,29.26828969
"54","ATB106","SMI1","NCYC110",53,23,76,30.26315789,29.26828969
"55","ATB106","SMI1","NCYC110",51,30,81,37.03703704,29.26828969
"56","ATB106","SMI1","NCYC110",76,42,118,35.59322034,29.26828969
"57","ATB106","SMI1","NCYC110",74,38,112,33.92857143,29.26828969
"58","ATB106","SMI1","NCYC110",54,52,106,49.05660377,29.26828969
"59","ATB106","SMI1","NCYC110",54,13,67,19.40298507,29.26828969
"60","ATB106","SMI1","NCYC110",83,28,111,25.22522523,29.26828969
"61","ATB106","SMI1","NCYC110",56,21,77,27.27272727,29.26828969
"62","ATB106","SMI1","NCYC110",58,19,77,24.67532468,29.26828969
"63","ATB106","SMI1","NCYC110",99,38,137,27.73722628,29.26828969
"64","ATB106","SMI1","NCYC110",54,19,73,26.02739726,29.26828969
"65","ATB101","BNS1","YPS606",736,50,786,6.361323155,3.860887332
"66","ATB101","BNS1","YPS606",784,34,818,4.156479218,3.860887332
"67","ATB101","BNS1","YPS606",857,48,905,5.303867403,3.860887332
"68","ATB101","BNS1","YPS606",852,49,901,5.438401776,3.860887332
"69","ATB101","BNS1","YPS606",740,34,774,4.392764858,3.860887332
"70","ATB101","BNS1","YPS606",934,37,971,3.810504634,3.860887332
"71","ATB101","BNS1","YPS606",972,35,1007,3.475670308,3.860887332
"72","ATB101","BNS1","YPS606",795,46,841,5.469678954,3.860887332
"73","ATB101","BNS1","YPS606",375,25,400,6.25,3.860887332
"74","ATB101","BNS1","YPS606",426,0,426,0,3.860887332
"75","ATB101","BNS1","YPS606",519,6,525,1.142857143,3.860887332
"76","ATB101","BNS1","YPS606",564,3,567,0.529100529,3.860887332
"77","PARENT","BY4741","YPS606",530,50,580,8.620689655,8.321783213
"78","PARENT","BY4741","YPS606",1029,259,1288,20.10869565,8.321783213
"79","PARENT","BY4741","YPS606",1101,294,1395,21.07526882,8.321783213
"80","PARENT","BY4741","YPS606",1057,74,1131,6.542882405,8.321783213
"81","PARENT","BY4741","YPS606",853,45,898,5.011135857,8.321783213
"82","PARENT","BY4741","YPS606",801,82,883,9.286523216,8.321783213
"83","PARENT","BY4741","YPS606",504,15,519,2.89017341,8.321783213
"84","PARENT","BY4741","YPS606",575,13,588,2.210884354,8.321783213
"85","PARENT","BY4741","YPS606",502,14,516,2.713178295,8.321783213
"86","PARENT","BY4741","YPS606",366,14,380,3.684210526,8.321783213
"87","PARENT","BY4741","YPS606",135,14,149,9.395973154,8.321783213
"88","PARENT","BY4741","YPS606",206,11,217,5.069124424,8.321783213
"89","ATB103","HGH1","YPS606",926,89,1015,8.768472906,8.984911581
"90","ATB103","HGH1","YPS606",820,87,907,9.592061742,8.984911581
"91","ATB103","HGH1","YPS606",751,64,815,7.852760736,8.984911581
"92","ATB103","HGH1","YPS606",733,35,768,4.557291667,8.984911581
"93","ATB103","HGH1","YPS606",153,7,160,4.375,8.984911581
"94","ATB103","HGH1","YPS606",231,10,241,4.149377593,8.984911581
"95","ATB103","HGH1","YPS606",821,139,960,14.47916667,8.984911581
"96","ATB103","HGH1","YPS606",1161,133,1294,10.27820711,8.984911581
"97","ATB103","HGH1","YPS606",491,64,555,11.53153153,8.984911581
"98","ATB103","HGH1","YPS606",1231,153,1384,11.05491329,8.984911581
"99","ATB103","HGH1","YPS606",694,97,791,12.26295828,8.984911581
"100","ATB103","HGH1","YPS606",1001,98,1099,8.917197452,8.984911581
"101","ATB107","SMI1","YPS606",35,5,40,12.5,13.22253769
"102","ATB107","SMI1","YPS606",52,10,62,16.12903226,13.22253769
"103","ATB107","SMI1","YPS606",45,9,54,16.66666667,13.22253769
"104","ATB107","SMI1","YPS606",34,8,42,19.04761905,13.22253769
"105","ATB107","SMI1","YPS606",74,4,78,5.128205128,13.22253769
"106","ATB107","SMI1","YPS606",59,9,68,13.23529412,13.22253769
"107","ATB107","SMI1","YPS606",84,15,99,15.15151515,13.22253769
"108","ATB107","SMI1","YPS606",103,15,118,12.71186441,13.22253769
"109","ATB107","SMI1","YPS606",95,13,108,12.03703704,13.22253769
"110","ATB107","SMI1","YPS606",27,2,29,6.896551724,13.22253769
"111","ATB107","SMI1","YPS606",14,2,16,12.5,13.22253769
"112","ATB107","SMI1","YPS606",15,3,18,16.66666667,13.22253769
