StrainID,Nuclear,NucPop,Mito,MitoPop,og_v_syn,Genotype,Petite,Grande,Total,PetFreq
6a1,273614N,mosaic,273614N,mosaic,original,MATaura3,2,1377,1379,0.15
6a1,273614N,mosaic,273614N,mosaic,original,MATaura3,2,1254,1256,0.16
6a1,273614N,mosaic,273614N,mosaic,original,MATaura3,5,1778,1783,0.28
8a1,322134S,mosaic,322134S,mosaic,original,MATaura3,4,221,225,1.78
8a1,322134S,mosaic,322134S,mosaic,original,MATaura3,6,163,169,3.55
8a1,322134S,mosaic,322134S,mosaic,original,MATaura3,6,426,432,1.39
ML4x1UB,378604X,mosaic,378604X,mosaic,original,MATxura3arg8::URA3,8,967,975,0.82
ML4x1UB,378604X,mosaic,378604X,mosaic,original,MATxura3arg8::URA3,14,1160,1174,1.19
ML4x1UB,378604X,mosaic,378604X,mosaic,original,MATxura3arg8::URA3,14,1415,1429,0.98
ML12x1UA,BC187,European,BC187,European,original,MATxura3arg8::URA3,8,479,487,1.64
ML12x1UA,BC187,European,BC187,European,original,MATxura3arg8::URA3,8,643,651,1.23
ML12x1UA,BC187,European,BC187,European,original,MATxura3arg8::URA3,1,749,750,0.13
16a1,DBVPG1373,European,DBVPG1373,European,original,MATaura3,34,1233,1267,2.68
16a1,DBVPG1373,European,DBVPG1373,European,original,MATaura3,30,558,588,5.1
16a1,DBVPG1373,European,DBVPG1373,European,original,MATaura3,38,858,896,4.24
21a1,DBVPG6044,WestAfrican,DBVPG6044,WestAfrican,original,MATaura3,52,892,944,5.51
21a1,DBVPG6044,WestAfrican,DBVPG6044,WestAfrican,original,MATaura3,49,721,770,6.36
21a1,DBVPG6044,WestAfrican,DBVPG6044,WestAfrican,original,MATaura3,70,1005,1075,6.51
21a1,DBVPG6044,WestAfrican,DBVPG6044,WestAfrican,original,MATaura3,126,2152,2278,5.53
21a1,DBVPG6044,WestAfrican,DBVPG6044,WestAfrican,original,MATaura3,104,1835,1939,5.36
21a1,DBVPG6044,WestAfrican,DBVPG6044,WestAfrican,original,MATaura3,146,2336,2482,5.88
ML21x1UA,DBVPG6044,WestAfrican,DBVPG6044,WestAfrican,original,MATxura3arg8::URA3,23,620,643,3.58
ML21x1UA,DBVPG6044,WestAfrican,DBVPG6044,WestAfrican,original,MATxura3arg8::URA3,18,928,946,1.9
ML21x1UA,DBVPG6044,WestAfrican,DBVPG6044,WestAfrican,original,MATxura3arg8::URA3,77,870,947,8.13
ML18x1UA,DBVPG6765,European,DBVPG6765,European,original,MATxura3arg8::URA3,12,432,444,2.7
ML18x1UA,DBVPG6765,European,DBVPG6765,European,original,MATxura3arg8::URA3,20,555,575,3.48
ML18x1UA,DBVPG6765,European,DBVPG6765,European,original,MATxura3arg8::URA3,16,687,703,2.28
ML19x1UA,L-1374,European,L-1374,European,original,MATxura3arg8::URA3,3,516,519,0.58
ML19x1UA,L-1374,European,L-1374,European,original,MATxura3arg8::URA3,7,695,702,1
ML19x1UA,L-1374,European,L-1374,European,original,MATxura3arg8::URA3,5,771,776,0.64
20a1,L-1528,European,L-1528,European,original,MATaura3,11,2368,2379,0.46
20a1,L-1528,European,L-1528,European,original,MATaura3,26,4543,4569,0.57
20a1,L-1528,European,L-1528,European,original,MATaura3,28,4472,4500,0.62
ML22x1UA,NCYC110,WestAfrican,NCYC110,WestAfrican,original,MATxura3arg8::URA3,46,986,1032,4.46
ML22x1UA,NCYC110,WestAfrican,NCYC110,WestAfrican,original,MATxura3arg8::URA3,61,1318,1379,4.42
ML22x1UA,NCYC110,WestAfrican,NCYC110,WestAfrican,original,MATxura3arg8::URA3,72,1130,1202,5.99
ML11x1UA,SK1,WestAfrican,SK1,WestAfrican,original,MATxura3arg8::URA3,213,1738,1951,10.92
ML11x1UA,SK1,WestAfrican,SK1,WestAfrican,original,MATxura3arg8::URA3,89,1469,1558,5.71
ML11x1UA,SK1,WestAfrican,SK1,WestAfrican,original,MATxura3arg8::URA3,263,2384,2647,9.94
ML11x1UA,SK1,WestAfrican,SK1,WestAfrican,original,MATxura3arg8::URA3,183,1624,1807,10.13
23a1,UWOPS03-461.4,Malaysian,UWOPS03-461.4,Malaysian,original,MATxura3,17,2717,2734,0.62
23a1,UWOPS03-461.4,Malaysian,UWOPS03-461.4,Malaysian,original,MATxura3,9,4104,4113,0.22
23a1,UWOPS03-461.4,Malaysian,UWOPS03-461.4,Malaysian,original,MATxura3,6,1957,1963,0.31
ML24x1UA,UWOPS05-217.3,Malaysian,UWOPS05-217.3,Malaysian,original,MATxura3arg8::URA3,124,2910,3034,4.09
ML24x1UA,UWOPS05-217.3,Malaysian,UWOPS05-217.3,Malaysian,original,MATxura3arg8::URA3,219,4652,4871,4.5
ML24x1UA,UWOPS05-217.3,Malaysian,UWOPS05-217.3,Malaysian,original,MATxura3arg8::URA3,212,3312,3524,6.02
25a1,UWOPS05-227.2,Malaysian,UWOPS05-227.2,Malaysian,original,MATxura3,193,3133,3326,5.8
