pet_strainID	pet_nuc	og_v_syn	petfreq_mean	mtDNA	mtPop	Acc_mtDNA	Length	GC_percent	M1	M2	M3	M4	M1p	M2p	M2pp	G	V	U	TotalGCcount	Reference	total_intronlength	c1_intronlength	cb_intronlength	omega_length	intron_total_count	ai1_1_count	ai2_2_count	ai3alpha_3_count	ai3bet_4_count	ai3gamma_5_count	ai4alpha_6_count	ai4beta_7_count	ai4gamma_count	ai5alpha_8_count	ai5beta_9_count	ai5gamma_10_count	bi1alpha_count	bi1beta_1_count	bi2_2_count	bi3_3_count	bi4_4_count	bi5_5_count	omega_count	ai1_1_length	ai2_2_length	ai3alpha_3_length	ai3bet_4_length	ai3gamma_5_length	ai4alpha_6_length	ai4beta_7_length	ai4gamma_length	ai5alpha_8_length	ai5beta_9_length	ai5gamma_10_length	bi1alpha_length	bi1beta_1_length	bi2_2_length	bi3_3_length	bi4_4_length	bi5_5_length	omega_length
SP09rho06	Y55	synthetic	7.326666667	273614N	mosaic	CP006553	76603	15.1	32	28	11	1	4	12	9	0	3	37	137	Wolters_2015	12544	6615	5929	0	10	0	0	1	0	0	1	1	0	0	1	1	0	1	1	1	1	1	0	0	0	1621	0	0	1010	1455	0	0	1643	886	0	769	1404	1640	1418	698	0
SP09rho21	Y55	synthetic	14.28	DBVPG6044	WestAfr	CP020156	83523	17.2	52	36	19	24	2	24	7	3	2	41	210	This_work	11376	5901	5475	0	8	1	0	1	0	0	1	0	0	1	0	0	0	0	1	1	1	1	0	2448	0	1217	0	0	1010	0	0	1226	0	0	0	0	1633	1637	1413	792	0
TUC134	Y55	synthetic	31.04666667	NCYC110	WestAfr	CP006549	80882	17.6	52	34	19	22	2	21	6	3	2	42	203	Wolters_2015	12675	7205	5470	0	8	1	0	1	0	0	1	0	0	1	0	0	0	0	1	1	1	1	0	2447	0	1514	0	0	1010	0	0	1350	0	884	0	0	1628	1637	1413	792	0
SP09rho10	Y55	synthetic	5.523333333	UWOPS83_787_3	Malaysian	UWOPS827873_CP006550	77956	15.1	26	17	12	1	3	11	9	0	3	39	121	Wolters_2015	11082	8972	2110	0	8	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	1831	1330	1672	0	0	1009	1483	0	0	1647	0	0	0	0	0	1411	699	0
TUC132	Y55	synthetic	18.82	UWOPS87_2421	Malaysian	CP006551	83736	15.7	32	20	11	2	2	9	6	4	4	47	137	Wolters_2015	15185	11296	3746	143	11	1	1	1	0	0	1	0	0	1	1	1	0	0	0	1	1	1	1	2447	2480	1514	0	0	1010	0	0	1348	1608	889	0	0	0	1625	1417	704	143
SP09rho26	Y55	synthetic	14.468	Y12	Sake	CP006554	82773	16.6	46	30	13	2	4	22	6	5	3	45	176	Wolters_2015	14647	10902	3745	0	9	1	1	1	0	1	0	0	0	0	1	1	0	0	0	1	1	1	0	2447	2483	1642	0	1908	0	0	0	0	1535	887	0	0	0	1621	1420	704	0
ML9x1UB	Y55	original	9.9	Y55	WestAfr	CP006492	80791	16.9	49	27	17	13	4	16	6	3	2	42	179	Wolters_2015	12449	6299	6150	0	9	1	0	1	0	0	1	0	0	1	0	0	0	1	1	1	1	1	0	2425	0	1514	0	0	1010	0	0	1350	0	0	0	762	1547	1636	1413	792	0
SP09rho07	Y55	synthetic	10.69666667	YIIc17_E5	mosaic	CP006547	81976	15.9	44	22	15	1	4	13	7	3	3	38	150	Wolters_2015	12547	6348	6199	0	9	0	1	1	0	0	1	0	0	1	0	0	0	1	1	1	1	1	0	0	2483	1514	0	0	1010	0	0	1341	0	0	0	761	1507	1772	1415	744	0
SP09rho15	Y55	synthetic	5.46	YJM975	WineEuro	CP006500	78950	16.1	45	22	16	3	8	14	4	3	3	38	156	Wolters_2015	12767	6550	6217	0	9	0	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	0	0	2481	1643	0	0	0	0	0	0	1533	893	0	763	1507	1783	1420	744	0
TUC133	Y55	synthetic	10.17666667	YJM978	WineEuro	CP006501	78916	16.1	45	22	16	3	8	14	4	3	3	38	156	Wolters_2015	12770	6553	6217	0	9	0	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	0	0	2483	1643	0	0	0	0	0	0	1534	893	0	763	1507	1783	1420	744	0
SP09rho14	Y55	synthetic	5.473333333	YJM981	WineEuro	CP006502	78916	16.1	45	22	16	3	8	14	4	3	3	38	156	Wolters_2015	12768	6551	6217	0	9	0	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	0	0	2483	1642	0	0	0	0	0	0	1533	893	0	763	1507	1783	1420	744	0
SP09rho27	Y55	synthetic	7.076666667	YPS606	NthAm	CP006548	77515	14.7	25	17	11	1	3	10	7	0	2	41	117	Wolters_2015	12332	6353	5979	0	9	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	0	0	2480	0	0	0	0	0	0	1352	1642	879	0	778	1406	1675	1417	703	0
SP09rho11	Y55	synthetic	20.29	SK1	WestAfr	CP020190	84638	17.7	53	36	19	23	2	24	7	3	2	43	212	This_work	13735	8844	3748	1143	11	1	0	1	0	0	1	1	0	0	1	1	0	0	1	1	1	1	1	2425	0	1514	0	0	1010	1469	0	0	1533	893	0	0	0	1624	1420	704	1143
NA	NA	NA	NA	S288C	mosaic	KP263414	85779	17.1	48	34	16	2	3	20	8	5	4	46	186	Wolters_2015	18363	11277	5943	1143	13	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	1	1	1	2448	2482	1516	0	0	1010	0	0	1365	1570	886	0	767	1399	1622	1417	738	1143
SP09rho12	Y55	synthetic	13.48666667	BC187	WineEuro	KP712790_1	83983	16.5	48	37	16	2	7	21	7	3	2	40	183	This_work	16221	8872	6206	1143	12	0	1	1	0	0	1	0	0	1	1	1	0	1	1	1	1	1	1	0	2483	1515	0	0	1010	0	0	1337	1636	891	0	763	1507	1772	1420	744	1143
SP09rho16	Y55	synthetic	8.666666667	DBVPG1373	WineEuro	KP712801	81464	16.1	47	30	18	3	5	19	6	4	2	36	170	This_work	12757	6551	6206	0	9	0	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	0	0	2483	1643	0	0	0	0	0	0	1532	893	0	763	1506	1772	1420	745	0
SP09rho03	Y55	synthetic	5.283333333	W303_CM007981	mosaic	CP007981	94871	17.1	57	42	19	2	3	29	11	6	4	44	217	This_work	24454	11214	13240	0	12	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	1	1	0	2448	2483	1514	0	0	1010	0	0	1345	1533	881	0	768	1404	1623	1417	8028	0
SP09rho20	Y55	synthetic	10.55666667	L1528	WineEuro	KP712791_1	82253	16.1	53	34	16	2	4	21	7	2	3	36	178	This_work	13775	7713	6062	0	10	1	0	1	0	0	0	0	0	1	1	1	0	1	1	1	1	1	0	2448	0	1515	0	0	0	0	0	1337	1533	880	0	763	1467	1627	1421	784	0
SP09rho08	Y55	synthetic	9.52	322134S	mosaic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
